Estimated_Dollar_Loss,Number_of_responding_personnel,Possible_Cause,TFS_Arrival_Time,Latitude,Longitude
500,22,80 - Exposure fire,2020-09-20T12:15:34,43.65687357,-79.45466867
0,18,47 - Improper handling of ignition source or ignited material,2020-09-20T14:26:20,43.80761011,-79.19942907
20000,27,99 - Undetermined,2020-09-20T15:16:31,43.59720672,-79.52131849
3000,4,01 - Suspected Arson,2020-09-20T18:57:05,43.64562546,-79.48780327
85000,41,51 - Mechanical Failure,2020-09-20T22:21:01,43.77524189,-79.28471655
2000,22,52 - Electrical Failure,2020-09-21T12:47:09,43.76096824,-79.28098417
300,22,44 - Unattended,2020-09-21T14:42:59,43.76175187,-79.34722981
30000,61,"60 - Other unintentional cause, not classified",2020-09-21T17:00:21,43.64324669,-79.42361434
10,21,99 - Undetermined,2020-09-21T18:49:08,43.66825468,-79.37517742
40000,34,"98 - Unintentional, cause undetermined",2020-09-21T23:01:38,43.64099162,-79.41724439
25000,23,01 - Suspected Arson,2020-09-22T00:47:49,43.7641428,-79.19279518
250000,93,45 - Improperly Discarded,2020-09-22T11:43:27,43.79108296,-79.44305028
4000,4,99 - Undetermined,2020-09-22T13:36:09,43.7090622,-79.45367077
2000,25,52 - Electrical Failure,2020-09-22T13:48:08,43.64598706,-79.37913497
100,4,52 - Electrical Failure,2020-09-22T13:58:25,43.70907194,-79.39329446
100000,49,"98 - Unintentional, cause undetermined",2020-09-22T15:18:55,43.64752711,-79.58683178
15000,21,52 - Electrical Failure,2020-09-22T16:52:37,43.65976856,-79.42479049
15000,18,99 - Undetermined,2020-09-22T20:31:15,43.64222021,-79.37937297
70000,8,12 - Vehicle Accident/Collision,2020-09-22T20:55:35,43.71822634,-79.24036343
5000,8,99 - Undetermined,2020-09-22T23:33:53,43.64773898,-79.36104306
10000,4,99 - Undetermined,2020-09-23T02:44:56,43.76142835,-79.24638226
0,3,99 - Undetermined,2020-09-23T07:54:29,43.6712064,-79.51817117
100,39,"98 - Unintentional, cause undetermined",2020-09-23T12:01:23,43.75981302,-79.54955035
8000,10,"60 - Other unintentional cause, not classified",2020-09-23T16:52:30,43.73678302,-79.42026347
5000,24,01 - Suspected Arson,2020-09-24T05:41:53,43.66213609,-79.3834218
20000,10,99 - Undetermined,2020-09-24T07:26:09,43.7229957,-79.4813743
9500,62,44 - Unattended,2020-09-24T09:58:04,43.61502627,-79.4979091
0,146,99 - Undetermined,2020-09-24T14:38:37,43.76267249,-79.54017488
1000,23,47 - Improper handling of ignition source or ignited material,2020-09-24T16:47:22,43.64783649,-79.3707892
0,4,01 - Suspected Arson,2020-09-24T17:09:14,43.67741656,-79.40813089
4000,21,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2020-09-24T19:10:00,43.67194014,-79.40845853
5000,57,45 - Improperly Discarded,2020-09-24T20:04:36,43.66860329,-79.45876936
15000,4,99 - Undetermined,2020-09-25T05:13:47,43.7394084,-79.51929527
50000,37,46 - Used or Placed too close to combustibles,2020-09-25T15:43:25,43.60076195,-79.50527458
0,4,52 - Electrical Failure,2020-09-25T21:12:48,43.7268464,-79.31285963
5000,57,99 - Undetermined,2020-09-26T02:56:00,43.66223713,-79.35669065
2000,4,52 - Electrical Failure,2020-09-26T03:43:56,43.76311163,-79.57518511
5000,22,44 - Unattended,2020-09-26T06:14:03,43.70119625,-79.52766198
10000,22,"60 - Other unintentional cause, not classified",2020-09-26T13:22:05,43.66269514,-79.57475752
500000,84,99 - Undetermined,2020-09-26T16:37:20,43.77847236,-79.38637275
500,22,50 - Other misuse of ignition source/material ignited,2020-09-26T16:56:09,43.67155663,-79.33660871
500,23,99 - Undetermined,2020-09-26T21:17:36,43.70279211,-79.36119605
20000,4,99 - Undetermined,2020-09-26T23:53:02,43.74394793,-79.21557165
15000,27,46 - Used or Placed too close to combustibles,2020-09-27T13:13:46,43.66450272,-79.44310126
25000,61,"60 - Other unintentional cause, not classified",2020-09-27T14:16:12,43.73784135,-79.61077344
0,22,20 - Design/Construction/Installation/Maintenance Deficiency,2020-09-27T14:33:09,43.68812239,-79.49262632
0,4,47 - Improper handling of ignition source or ignited material,2020-09-27T18:28:52,43.63933993,-79.45131019
10000,22,50 - Other misuse of ignition source/material ignited,2020-09-27T18:31:35,43.71000444,-79.47714975
15000,21,52 - Electrical Failure,2020-09-28T10:41:57,43.65304725,-79.37298301
2000,57,99 - Undetermined,2020-09-28T14:17:48,43.73998098,-79.22792794
3000,22,52 - Electrical Failure,2020-09-28T14:38:24,43.7206339,-79.51414941
50000,36,46 - Used or Placed too close to combustibles,2020-09-28T15:48:06,43.64056282,-79.39300461
50000,57,47 - Improper handling of ignition source or ignited material,2020-09-28T16:10:49,43.6504506,-79.45065905
15000,55,44 - Unattended,2020-09-28T17:13:21,43.76686933,-79.44229345
10000,35,"60 - Other unintentional cause, not classified",2020-09-30T08:43:20,43.68683528,-79.35445378
2000,3,51 - Mechanical Failure,2020-09-30T11:41:09,43.6911729,-79.34169027
5000,10,"98 - Unintentional, cause undetermined",2020-09-30T21:13:22,43.63766379,-79.44365786
1000,20,99 - Undetermined,2020-10-01T03:18:06,43.65867056,-79.40587367
40000,10,52 - Electrical Failure,2020-10-01T13:06:16,43.67007265,-79.57856622
7000,4,99 - Undetermined,2020-10-01T20:00:41,43.75025113,-79.46339036
20000,27,47 - Improper handling of ignition source or ignited material,2020-10-02T05:29:37,43.64688206,-79.3537354
50000,39,01 - Suspected Arson,2020-10-02T07:14:11,43.71952812,-79.25934115
2000,4,99 - Undetermined,2020-10-02T08:35:31,43.66817463,-79.36956195
1000,22,"98 - Unintentional, cause undetermined",2020-10-02T10:43:10,43.66875708,-79.3057753
5000,14,51 - Mechanical Failure,2020-10-02T19:01:21,43.74927882,-79.63524142
4000,22,99 - Undetermined,2020-10-03T05:49:46,43.71968398,-79.31451553
5000,21,52 - Electrical Failure,2020-10-03T19:44:59,43.73220818,-79.42410853
20000,8,99 - Undetermined,2020-10-03T20:18:34,43.71224624,-79.46675149
500000,105,99 - Undetermined,2020-10-04T02:55:11,43.65153974,-79.41305329
250000,60,99 - Undetermined,2020-10-04T03:34:00,43.74472385,-79.51841029
1000,25,99 - Undetermined,2020-10-04T04:45:15,43.66241553,-79.35868759
25000,11,52 - Electrical Failure,2020-10-04T12:23:12,43.67253451,-79.46762343
15000,25,45 - Improperly Discarded,2020-10-05T00:59:15,43.76463815,-79.34465014
15000,22,01 - Suspected Arson,2020-10-05T01:21:51,43.61194224,-79.54748112
10000,15,46 - Used or Placed too close to combustibles,2020-10-05T08:14:18,43.79677299,-79.31576611
2500,21,52 - Electrical Failure,2020-10-05T17:46:19,43.64464858,-79.5234381
5000,8,12 - Vehicle Accident/Collision,2020-10-05T23:54:22,43.69661103,-79.44250926
15000,4,99 - Undetermined,2020-10-06T07:54:22,43.64018047,-79.49211746
0,24,47 - Improper handling of ignition source or ignited material,2020-10-06T14:10:12,43.62174933,-79.52313132
0,4,20 - Design/Construction/Installation/Maintenance Deficiency,2020-10-06T16:33:57,43.65722765,-79.4668502
20000,37,"98 - Unintentional, cause undetermined",2020-10-06T18:49:28,43.68913207,-79.39456769
20000,59,20 - Design/Construction/Installation/Maintenance Deficiency,2020-10-06T21:56:33,43.71154725,-79.57137148
0,18,"98 - Unintentional, cause undetermined",2020-10-07T08:40:20,43.63037729,-79.54982075
2500,4,52 - Electrical Failure,2020-10-07T10:43:41,43.79027398,-79.35415911
10,26,45 - Improperly Discarded,2020-10-07T17:22:35,43.80653698,-79.21865432
1000,60,"60 - Other unintentional cause, not classified",2020-10-07T20:12:13,43.7618846,-79.2002474
15000,11,99 - Undetermined,2020-10-07T22:19:38,43.78530113,-79.16069085
100000,23,01 - Suspected Arson,2020-10-08T01:41:49,43.6493465,-79.39879898
1000,10,51 - Mechanical Failure,2020-10-08T06:59:21,43.6682162,-79.58656179
10000,56,52 - Electrical Failure,2020-10-08T08:08:33,43.63717638,-79.43603744
100000,90,01 - Suspected Arson,2020-10-08T16:48:28,43.66440311,-79.38163618
0,21,44 - Unattended,2020-10-08T17:52:37,43.66585979,-79.33417231
5000,54,"60 - Other unintentional cause, not classified",2020-10-08T18:02:39,43.72590201,-79.5602043
100,4,46 - Used or Placed too close to combustibles,2020-10-09T09:04:29,43.6571226,-79.43431345
0,16,49 - Improper Storage,2020-10-09T11:23:07,43.68597916,-79.35629747
20000,14,52 - Electrical Failure,2020-10-09T21:24:42,43.7807774,-79.25479914
0,18,99 - Undetermined,2020-10-10T04:29:31,43.73998098,-79.22792794
50000,63,52 - Electrical Failure,2020-10-10T07:49:11,43.70321859,-79.27951692
2000,24,47 - Improper handling of ignition source or ignited material,2020-10-10T10:30:03,43.70791633,-79.25186683
1000,16,46 - Used or Placed too close to combustibles,2020-10-10T12:05:49,43.80988813,-79.25769917
2000,22,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2020-10-10T20:08:07,43.7321166,-79.42873251
100,4,99 - Undetermined,2020-10-10T21:20:33,43.64406238,-79.3757697
2000,10,99 - Undetermined,2020-10-11T00:16:07,43.75831804,-79.33559825
2000,22,45 - Improperly Discarded,2020-10-11T03:45:01,43.69754875,-79.50166024
25000,4,99 - Undetermined,2020-10-11T13:34:30,43.82328497,-79.25144465
80000,49,"98 - Unintentional, cause undetermined",2020-10-12T01:09:49,43.7080767,-79.27337407
30000,59,44 - Unattended,2020-10-12T06:06:39,43.69314473,-79.29129854
0,21,Not Reported,2020-10-12T10:28:49,43.64917808,-79.45266527
1000,24,"60 - Other unintentional cause, not classified",2020-10-12T13:02:05,43.67930282,-79.34308471
2500,21,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2020-10-12T21:14:08,43.59441401,-79.50979293
30000,17,"60 - Other unintentional cause, not classified",2020-10-13T15:01:04,43.63057025,-79.47403867
30000,21,"60 - Other unintentional cause, not classified",2020-10-13T15:11:51,43.71224781,-79.47134821
0,20,99 - Undetermined,2020-10-13T15:54:44,43.66924464,-79.37283148
10000,10,99 - Undetermined,2020-10-13T22:04:31,43.71849216,-79.62000357
2500,30,51 - Mechanical Failure,2020-10-13T22:10:37,43.72934499,-79.5933226
100000,40,99 - Undetermined,2020-10-14T14:08:15,43.69037204,-79.38332823
2000,21,44 - Unattended,2020-10-14T19:55:30,43.65871155,-79.44961338
25000,16,99 - Undetermined,2020-10-14T21:53:46,43.77246233,-79.52863019
200,4,99 - Undetermined,2020-10-14T23:34:21,43.65921253,-79.43867088
3000,10,52 - Electrical Failure,2020-10-16T00:48:51,43.72837452,-79.45796464
10000,25,01 - Suspected Arson,2020-10-16T05:56:11,43.65462237,-79.3537462
50,4,52 - Electrical Failure,2020-10-16T09:58:58,43.76119344,-79.30075192
25000,85,99 - Undetermined,2020-10-16T18:49:02,43.70060052,-79.51779043
0,22,44 - Unattended,2020-10-16T23:04:12,43.6718889,-79.37145847
300,21,45 - Improperly Discarded,2020-10-17T01:47:29,43.66034224,-79.35907741
200,22,45 - Improperly Discarded,2020-10-17T10:48:21,43.68079335,-79.31075493
5000,24,99 - Undetermined,2020-10-17T21:47:57,43.6585138,-79.37637033
400000,93,52 - Electrical Failure,2020-10-18T00:00:19,43.65450841,-79.40203517
10000,10,99 - Undetermined,2020-10-18T01:48:30,43.6966351,-79.56310845
2000,21,52 - Electrical Failure,2020-10-18T03:36:22,43.70801775,-79.34138709
2000,39,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2020-10-18T13:15:07,43.7909541,-79.16995941
20000,69,52 - Electrical Failure,2020-10-18T17:25:41,43.73529168,-79.26923941
1000,21,"60 - Other unintentional cause, not classified",2020-10-18T17:50:17,43.6573078,-79.38441585
2000,22,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2020-10-19T03:12:54,43.7758347,-79.34372266
13000,4,01 - Suspected Arson,2020-10-19T05:53:40,43.7484182,-79.40286086
5000,22,44 - Unattended,2020-10-19T11:57:44,43.73604435,-79.25877413
2000,26,44 - Unattended,2020-10-19T17:13:37,43.77604369,-79.20864176
10000,56,44 - Unattended,2020-10-20T00:01:25,43.64584697,-79.41079034
2000,14,52 - Electrical Failure,2020-10-20T03:52:49,43.77722754,-79.26393848
250,26,51 - Mechanical Failure,2020-10-20T12:16:02,43.72227322,-79.28170832
80000,51,20 - Design/Construction/Installation/Maintenance Deficiency,2020-10-20T13:58:13,43.75725336,-79.56985435
5000,22,44 - Unattended,2020-10-20T15:19:00,43.69314473,-79.29129854
0,23,50 - Other misuse of ignition source/material ignited,2020-10-20T16:12:03,43.61208481,-79.51582542
15000,13,12 - Vehicle Accident/Collision,2020-10-20T18:05:27,43.77107608,-79.28641785
500,21,"60 - Other unintentional cause, not classified",2020-10-20T22:21:36,43.62834818,-79.50221073
100,34,45 - Improperly Discarded,2020-10-21T09:03:31,43.66797338,-79.37649112
30000,33,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2020-10-21T09:20:37,43.79677999,-79.41344228
1500,22,"60 - Other unintentional cause, not classified",2020-10-21T12:31:47,43.76191751,-79.51882213
300000,65,44 - Unattended,2020-10-21T16:27:13,43.70813446,-79.3915009
15000,31,99 - Undetermined,2020-10-21T20:45:14,43.80230219,-79.30106144
15000,7,01 - Suspected Arson,2020-10-21T21:38:20,43.65976856,-79.42479049
2000,58,47 - Improper handling of ignition source or ignited material,2020-10-22T02:47:03,43.63997092,-79.44417798
10,21,46 - Used or Placed too close to combustibles,2020-10-22T18:06:50,43.78053867,-79.24702786
6000,8,99 - Undetermined,2020-10-22T21:08:10,43.71472075,-79.47946516
0,29,"60 - Other unintentional cause, not classified",2020-10-23T00:19:35,43.66803323,-79.39738079
3000,26,99 - Undetermined,2020-10-23T08:31:45,43.71982234,-79.29515163
100000,58,44 - Unattended,2020-10-23T09:34:01,43.64677344,-79.53055376
25000,38,45 - Improperly Discarded,2020-10-23T13:55:23,43.68482373,-79.29610916
100,20,47 - Improper handling of ignition source or ignited material,2020-10-23T18:54:21,43.64101279,-79.41025017
15000,75,45 - Improperly Discarded,2020-10-24T18:52:50,43.77954463,-79.2329791
1000,10,20 - Design/Construction/Installation/Maintenance Deficiency,2020-10-24T19:11:33,43.66819975,-79.57197486
0,4,03 - Suspected Vandalism,2020-10-24T21:50:45,43.66654713,-79.38525879
300,24,47 - Improper handling of ignition source or ignited material,2020-10-24T22:48:43,43.65921253,-79.43867088
1000,21,20 - Design/Construction/Installation/Maintenance Deficiency,2020-10-25T02:19:43,43.66824531,-79.30804794
1000,20,44 - Unattended,2020-10-25T09:42:29,43.65265082,-79.56322663
0,20,46 - Used or Placed too close to combustibles,2020-10-25T12:43:44,43.70029529,-79.39703918
2000,26,"98 - Unintentional, cause undetermined",2020-10-25T18:17:50,43.74291755,-79.36724489
50000,35,49 - Improper Storage,2020-10-25T19:41:00,43.82616202,-79.29123796
0,25,45 - Improperly Discarded,2020-10-25T21:58:13,43.77440088,-79.33711255
2000,22,47 - Improper handling of ignition source or ignited material,2020-10-26T03:53:04,43.76289239,-79.33876873
9000,10,52 - Electrical Failure,2020-10-26T09:56:41,43.74927882,-79.63524142
2500,20,45 - Improperly Discarded,2020-10-26T21:34:57,43.66217027,-79.36604514
20000,4,"60 - Other unintentional cause, not classified",2020-10-26T23:10:20,43.67075334,-79.39308115
200,4,45 - Improperly Discarded,2020-10-27T00:22:55,43.70973792,-79.38359144
15000,26,99 - Undetermined,2020-10-27T14:15:25,43.69023855,-79.46764674
2000,18,47 - Improper handling of ignition source or ignited material,2020-10-27T14:29:37,43.6396028,-79.43693152
75000,10,51 - Mechanical Failure,2020-10-27T19:52:59,43.73784168,-79.52521307
2500,4,51 - Mechanical Failure,2020-10-27T20:13:14,43.6636973,-79.38011106
5000,8,99 - Undetermined,2020-10-27T20:51:31,43.77173297,-79.28325008
500,21,50 - Other misuse of ignition source/material ignited,2020-10-27T23:37:05,43.69424964,-79.55864913
80000,52,99 - Undetermined,2020-10-28T04:32:47,43.6556038,-79.44302923
10000,70,50 - Other misuse of ignition source/material ignited,2020-10-28T06:50:10,43.76392832,-79.40862746
1000,22,49 - Improper Storage,2020-10-28T14:20:25,43.70155842,-79.50669825
10000,22,44 - Unattended,2020-10-28T14:30:30,43.69287157,-79.47015539
7000,23,44 - Unattended,2020-10-28T17:07:46,43.66537157,-79.44344693
40000,19,99 - Undetermined,2020-10-28T17:35:54,43.59696426,-79.52648152
1000,7,99 - Undetermined,2020-10-28T19:35:04,43.76487494,-79.54536406
2000,8,"98 - Unintentional, cause undetermined",2020-10-28T20:12:36,43.75564064,-79.49137098
0,21,99 - Undetermined,2020-10-28T21:15:33,43.67973418,-79.39167311
0,18,99 - Undetermined,2020-10-28T23:04:33,43.640303,-79.39837487
300,4,"60 - Other unintentional cause, not classified",2020-10-29T15:54:15,43.71692763,-79.52659392
15000,4,99 - Undetermined,2020-10-30T16:11:39,43.79031463,-79.19797873
3000,61,50 - Other misuse of ignition source/material ignited,2020-10-30T18:08:19,43.79585146,-79.31931284
0,16,45 - Improperly Discarded,2020-10-30T18:35:00,43.65632102,-79.45245387
0,27,50 - Other misuse of ignition source/material ignited,2020-10-30T19:15:59,43.7679299,-79.18837002
100000,58,52 - Electrical Failure,2020-10-30T20:12:29,43.6894317,-79.30098799
5000,34,"98 - Unintentional, cause undetermined",2020-10-30T20:45:25,43.63015234,-79.48525103
150000,68,45 - Improperly Discarded,2020-10-31T15:28:35,43.68647291,-79.51654607
2000,24,47 - Improper handling of ignition source or ignited material,2020-10-31T15:44:58,43.7442153,-79.32615603
0,4,Not Reported,2020-10-31T18:10:57,43.70865931,-79.47806218
80000,58,"98 - Unintentional, cause undetermined",2020-10-31T18:19:41,43.78328686,-79.28826373
4000,21,51 - Mechanical Failure,2020-10-31T18:51:10,43.64892685,-79.365967
50,4,99 - Undetermined,2020-10-31T22:23:49,43.75663464,-79.43283288
200,22,45 - Improperly Discarded,2020-10-31T23:46:38,43.74107646,-79.50340118
10000,8,12 - Vehicle Accident/Collision,2020-11-01T00:47:59,43.770866,-79.543642
200000,52,52 - Electrical Failure,2020-11-01T10:38:53,43.7485145,-79.49943377
1000,18,50 - Other misuse of ignition source/material ignited,2020-11-01T12:59:43,43.76846927,-79.17543007
10,33,44 - Unattended,2020-11-01T18:04:08,43.77640989,-79.40619145
1000,18,51 - Mechanical Failure,2020-11-01T21:27:28,43.80627355,-79.21357721
4500,21,99 - Undetermined,2020-11-02T00:20:18,43.64660511,-79.38302957
10000,27,45 - Improperly Discarded,2020-11-02T11:28:06,43.82021,-79.30767831
2000,58,45 - Improperly Discarded,2020-11-02T19:10:00,43.70778524,-79.53362703
200,21,99 - Undetermined,2020-11-02T19:43:05,43.67183938,-79.33921609
10000,22,47 - Improper handling of ignition source or ignited material,2020-11-02T21:07:25,43.66819975,-79.57197486
0,4,44 - Unattended,2020-11-02T21:22:17,43.69048385,-79.55169379
25000,38,99 - Undetermined,2020-11-03T06:50:49,43.66464726,-79.38052094
1,18,45 - Improperly Discarded,2020-11-03T08:34:52,43.65571912,-79.38743762
15000,12,99 - Undetermined,2020-11-03T15:12:15,43.78554174,-79.2062925
7000,17,52 - Electrical Failure,2020-11-03T17:33:26,43.66008725,-79.36300162
60000,54,99 - Undetermined,2020-11-03T18:25:38,43.66359915,-79.3772145
10000,22,44 - Unattended,2020-11-04T08:09:07,43.67232875,-79.50400728
10000,21,44 - Unattended,2020-11-04T18:18:28,43.75965307,-79.18369673
1000,4,"98 - Unintentional, cause undetermined",2020-11-05T06:37:04,43.6536388,-79.3537105
10000,33,52 - Electrical Failure,2020-11-05T12:13:54,43.69699828,-79.28539951
500,26,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2020-11-05T14:52:49,43.60097378,-79.50867027
10000,22,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2020-11-05T19:53:01,43.79259817,-79.31687934
50000,75,"60 - Other unintentional cause, not classified",2020-11-05T21:44:23,43.71282889,-79.54708685
40000,26,52 - Electrical Failure,2020-11-05T23:17:41,43.7187638,-79.25129946
1000,4,99 - Undetermined,2020-11-05T23:28:16,43.7022534,-79.44110905
500,23,47 - Improper handling of ignition source or ignited material,2020-11-06T06:16:17,43.66997221,-79.43681399
0,19,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2020-11-06T13:01:58,43.68586416,-79.48168519
20000,8,99 - Undetermined,2020-11-06T17:08:33,43.69701212,-79.46797446
2000,23,45 - Improperly Discarded,2020-11-07T06:22:17,43.65214845,-79.368638
12000,17,52 - Electrical Failure,2020-11-07T10:06:53,43.62703669,-79.47780906
50000,8,45 - Improperly Discarded,2020-11-07T10:39:17,43.72166367,-79.41850055
15000,18,12 - Vehicle Accident/Collision,2020-11-07T16:47:06,43.70865931,-79.47806218
0,14,01 - Suspected Arson,2020-11-07T17:28:02,43.6701977,-79.36015239
5000,4,"98 - Unintentional, cause undetermined",2020-11-07T20:04:10,43.82328497,-79.25144465
500,22,03 - Suspected Vandalism,2020-11-08T04:57:35,43.76201424,-79.19474166
500,4,45 - Improperly Discarded,2020-11-08T10:37:20,43.70303786,-79.50270755
0,4,01 - Suspected Arson,2020-11-08T10:40:32,43.6915405,-79.43890307
10000,59,"98 - Unintentional, cause undetermined",2020-11-08T22:45:38,43.70164216,-79.3371486
1000,18,44 - Unattended,2020-11-09T08:22:19,43.705829,-79.50459788
100000,49,52 - Electrical Failure,2020-11-09T11:32:59,43.76649585,-79.19489375
100,4,"60 - Other unintentional cause, not classified",2020-11-09T16:29:47,43.79994828,-79.1542766
50000,87,52 - Electrical Failure,2020-11-09T17:12:59,43.66222461,-79.48071739
5000,35,01 - Suspected Arson,2020-11-09T22:37:34,43.77666892,-79.42236528
30000,19,99 - Undetermined,2020-11-10T00:18:05,43.65638256,-79.35697986
500,4,99 - Undetermined,2020-11-10T06:47:04,43.63268141,-79.42217083
50000,60,"98 - Unintentional, cause undetermined",2020-11-10T15:28:59,43.75376737,-79.26311757
0,4,45 - Improperly Discarded,2020-11-10T21:52:17,43.6390626,-79.34666226
500000,155,99 - Undetermined,2020-11-11T03:01:39,43.75649071,-79.32397557
5000,25,99 - Undetermined,2020-11-11T03:16:47,43.66722078,-79.42786043
20000,26,01 - Suspected Arson,2020-11-11T04:15:58,43.77944602,-79.37783442
2500,17,44 - Unattended,2020-11-11T17:30:20,43.73313745,-79.25478624
5000,22,45 - Improperly Discarded,2020-11-11T22:20:57,43.70440847,-79.26239871
35000,10,51 - Mechanical Failure,2020-11-12T00:39:27,43.68947343,-79.60224107
300000,72,99 - Undetermined,2020-11-12T06:33:23,43.70864869,-79.26395485
30000,26,44 - Unattended,2020-11-12T12:15:05,43.64816726,-79.58161832
1500000,68,01 - Suspected Arson,2020-11-12T20:05:34,43.69424964,-79.55864913
5000,22,45 - Improperly Discarded,2020-11-12T21:55:47,43.69009271,-79.34536866
2500,25,99 - Undetermined,2020-11-13T01:48:27,43.62718826,-79.5247037
25000,8,01 - Suspected Arson,2020-11-13T03:03:43,43.78672669,-79.36064628
0,17,20 - Design/Construction/Installation/Maintenance Deficiency,2020-11-13T13:21:32,43.65571596,-79.38376619
20000,22,99 - Undetermined,2020-11-13T17:33:40,43.75605982,-79.2990667
100,21,45 - Improperly Discarded,2020-11-13T18:38:24,43.6724655,-79.3758926
1500,20,01 - Suspected Arson,2020-11-14T09:04:45,43.77515706,-79.41438446
50000,54,52 - Electrical Failure,2020-11-14T09:17:52,43.67025835,-79.37040716
1000,20,"98 - Unintentional, cause undetermined",2020-11-14T10:36:36,43.82129879,-79.20514211
25000,53,47 - Improper handling of ignition source or ignited material,2020-11-14T13:43:20,43.62074991,-79.50153562
100000,96,99 - Undetermined,2020-11-14T14:27:33,43.74425273,-79.2762015
25000,56,46 - Used or Placed too close to combustibles,2020-11-14T19:40:21,43.59044925,-79.54500737
1000,4,45 - Improperly Discarded,2020-11-14T22:02:09,43.75960763,-79.58991126
30,25,99 - Undetermined,2020-11-14T22:13:31,43.74631494,-79.58816523
0,4,99 - Undetermined,2020-11-14T23:48:22,43.76224099,-79.50052088
25000,53,50 - Other misuse of ignition source/material ignited,2020-11-15T13:57:41,43.67586169,-79.47770267
0,20,50 - Other misuse of ignition source/material ignited,2020-11-15T15:13:01,43.65102137,-79.40187366
5000,17,51 - Mechanical Failure,2020-11-15T17:53:43,43.7451926,-79.42803484
0,22,"60 - Other unintentional cause, not classified",2020-11-15T21:51:29,43.69834277,-79.51131553
1000,22,44 - Unattended,2020-11-15T22:05:45,43.76558021,-79.30217058
10000,34,45 - Improperly Discarded,2020-11-15T23:22:40,43.65951279,-79.42600812
20000,21,99 - Undetermined,2020-11-16T02:04:35,43.66282597,-79.3797555
1000000,100,990 - Under Investigation,2020-11-16T02:18:25,43.65627508,-79.40175286
800,21,51 - Mechanical Failure,2020-11-16T13:31:04,43.7275886,-79.39727695
1700,27,"60 - Other unintentional cause, not classified",2020-11-16T14:47:33,43.64890278,-79.40599499
8000,8,45 - Improperly Discarded,2020-11-16T16:34:50,43.69512966,-79.30348073
30000,21,51 - Mechanical Failure,2020-11-16T19:19:43,43.70952403,-79.4661419
30000,8,"60 - Other unintentional cause, not classified",2020-11-16T21:15:11,43.75641711,-79.23523647
25000,21,99 - Undetermined,2020-11-16T22:13:55,43.74848096,-79.55010752
10000,4,52 - Electrical Failure,2020-11-16T23:10:11,43.80697498,-79.22656178
10000,33,99 - Undetermined,2020-11-17T02:05:46,43.64958456,-79.42982902
15000,36,"60 - Other unintentional cause, not classified",2020-11-17T10:25:07,43.76065009,-79.35849566
2000,10,20 - Design/Construction/Installation/Maintenance Deficiency,2020-11-17T17:04:35,43.65089307,-79.34696208
50,21,99 - Undetermined,2020-11-18T02:06:54,43.66267144,-79.33281451
500,21,45 - Improperly Discarded,2020-11-18T14:24:03,43.73301381,-79.3467257
8000,21,50 - Other misuse of ignition source/material ignited,2020-11-18T17:23:03,43.64890278,-79.40599499
0,26,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2020-11-19T04:24:08,43.67022639,-79.38678806
100,64,49 - Improper Storage,2020-11-19T05:09:34,43.75846073,-79.58935332
15000,4,99 - Undetermined,2020-11-19T12:27:48,43.66610096,-79.58767597
10000,17,"60 - Other unintentional cause, not classified",2020-11-19T13:29:33,43.6782374,-79.34848373
0,4,45 - Improperly Discarded,2020-11-19T14:29:20,43.63746042,-79.43472545
5000,4,"60 - Other unintentional cause, not classified",2020-11-19T15:21:46,43.62172668,-79.50866034
0,21,"60 - Other unintentional cause, not classified",2020-11-19T15:29:49,43.61257043,-79.4995049
100000,76,"60 - Other unintentional cause, not classified",2020-11-19T17:51:03,43.63918149,-79.44382528
30000,14,99 - Undetermined,2020-11-19T18:54:47,43.68655818,-79.59941922
40000,21,"98 - Unintentional, cause undetermined",2020-11-19T20:41:07,43.70488046,-79.47160726
7000,25,52 - Electrical Failure,2020-11-20T00:46:33,43.69083184,-79.28450045
300000,86,99 - Undetermined,2020-11-20T01:16:44,43.73940439,-79.27791179
5000,24,"60 - Other unintentional cause, not classified",2020-11-20T10:30:08,43.7262809,-79.4837019
0,21,99 - Undetermined,2020-11-20T11:18:17,43.67633852,-79.57040938
1,25,46 - Used or Placed too close to combustibles,2020-11-20T13:45:01,43.66257313,-79.33330416
10000,21,45 - Improperly Discarded,2020-11-20T16:44:16,43.66083449,-79.47655827
1500,53,51 - Mechanical Failure,2020-11-21T10:22:47,43.72755252,-79.31535897
30000,14,52 - Electrical Failure,2020-11-21T11:11:01,43.7807774,-79.25479914
0,8,47 - Improper handling of ignition source or ignited material,2020-11-21T12:04:04,43.80159038,-79.21602194
25000,15,51 - Mechanical Failure,2020-11-21T14:24:34,43.70001127,-79.56298989
4000,8,52 - Electrical Failure,2020-11-21T15:56:09,43.70474518,-79.41195223
